volume,page,entry_number,image_number,url,source
1,374,1590,370,https://dlib.nyu.edu/aco/book/cornell_aco000443/370,author_bios.csv (author=b. al-faḥḥām ʿabd al-raḥmān b. ʿatīq b. ḫalaf al-ṣiqillī ʾabū al-qāsim)
1,385,1647,381,https://dlib.nyu.edu/aco/book/cornell_aco000443/381,author_bios.csv (author=maǧd al-dīn b. taymiyyah ʿabd al-salām b. ʿabd allāh b. al-ḫiḍr al-ḥarrānī al-ḥanbalī ʾabū al-barakāt)
1,391,1669,387,https://dlib.nyu.edu/aco/book/cornell_aco000443/387,author_bios.csv (author=ʿabd al-ẓāhir b. našwān b. ʿabd al-ẓāhir al-ǧuḏāmī al-zunbāʿī al-miṣrī ʾabū muḥammad)
1,401,1708,397,https://dlib.nyu.edu/aco/book/cornell_aco000443/397,bibliographic_citations (citation_id=288)
1,401,1708,397,https://dlib.nyu.edu/aco/book/cornell_aco000443/397,author_bios.csv (author=ʿabd al-karīm b. ʿabd al-ṣamad ʾabū maʿšar al-ṭabarī)
1,408–9,1739,404,https://dlib.nyu.edu/aco/book/cornell_aco000443/404,bibliographic_citations (citation_id=106)
1,415–17,1761,411,https://dlib.nyu.edu/aco/book/cornell_aco000443/411,bibliographic_citations (citation_id=96)
1,421,1805,417,https://dlib.nyu.edu/aco/book/cornell_aco000443/417,author_bios.csv (author=ʿabd allāh b. ʿabd al-muʾmin b. waǧīh al-wāsiṭī)
1,434–35,1817,430,https://dlib.nyu.edu/aco/book/cornell_aco000443/430,bibliographic_citations (citation_id=372)
1,434,1817,430,https://dlib.nyu.edu/aco/book/cornell_aco000443/430,author_bios.csv (author=sibṭ al-ḫayyāṭ ʿabd allāh b. ʿalī b. ʾaḥmad al-baġdādī ʾabū muḥammad)
1,470,1967,466,https://dlib.nyu.edu/aco/book/cornell_aco000443/466,bibliographic_citations (citation_id=3)
1,470,1967,466,https://dlib.nyu.edu/aco/book/cornell_aco000443/466,bibliographic_citations (citation_id=98)
1,470,1967,466,https://dlib.nyu.edu/aco/book/cornell_aco000443/466,author_bios.csv (author=ʾabū al-ṭayyib b. ġalbūn ʿabd al-munʿim b. ʿubayd allāh al-ḥalabī)
1,473,1978,469,https://dlib.nyu.edu/aco/book/cornell_aco000443/469,bibliographic_citations (citation_id=227)
1,473,1978,469,https://dlib.nyu.edu/aco/book/cornell_aco000443/469,author_bios.csv (author=b. šīṭā ʿabd al-wāḥid b. al-ḥusayn b. ʾaḥmad al-baġdādī ʾabū al-fatḥ)
1,475,1983,471,https://dlib.nyu.edu/aco/book/cornell_aco000443/471,bibliographic_citations (citation_id=42)
1,475,1983,471,https://dlib.nyu.edu/aco/book/cornell_aco000443/471,author_bios.csv (author=b. ʾabī hāšim ʿabd al-wāḥīd b. ʿumar b. muḥammad al-baġdādī ʾabū ṭāhir)
1,482,204,478,https://dlib.nyu.edu/aco/book/cornell_aco000443/478,bibliographic_citations (citation_id=259)
1,512,2182,508,https://dlib.nyu.edu/aco/book/cornell_aco000443/508,bibliographic_citations (citation_id=138)
1,512,2182,508,https://dlib.nyu.edu/aco/book/cornell_aco000443/508,author_bios.csv (author=ʿalī b. ǧaʿfar b. saʿīd al-saʿīdī al-ḥaḏḏāʾ ʾabū al-ḥasan)
1,548–49,2243,544,https://dlib.nyu.edu/aco/book/cornell_aco000443/544,bibliographic_citations (citation_id=324)
1,548,2243,544,https://dlib.nyu.edu/aco/book/cornell_aco000443/544,author_bios.csv (author=b. al-ǧarrāḥ ʿalī b. ʿabd al-raḥmān b. hārūn al-šāfiʿī ʾabū al-ḫaṭṭāb)
1,550,2250,546,https://dlib.nyu.edu/aco/book/cornell_aco000443/546,author_bios.csv (author=ʿalī b. ʿabd al-ġanī al-fihrī al-qayrawānī al-ḥuṣrī ʾabū al-ḥasan)
1,556,2276,552,https://dlib.nyu.edu/aco/book/cornell_aco000443/552,author_bios.csv (author=ʿalī b. ʿasākir b. al-muraḥḥab al-ḍarīr al-baṭāʾiḥī ʾabū al-ḥasan)
1,572,2323,568,https://dlib.nyu.edu/aco/book/cornell_aco000443/568,bibliographic_citations (citation_id=186)
1,572,2323,568,https://dlib.nyu.edu/aco/book/cornell_aco000443/568,author_bios.csv (author=ʿalī b. muḥammad b. ʿuabyd allāh b. muḥammad al-fārisī quhunduzī ʾabū al-ḥasan)
1,573,2328,569,https://dlib.nyu.edu/aco/book/cornell_aco000443/569,bibliographic_citations (citation_id=224)
1,573,2328,569,https://dlib.nyu.edu/aco/book/cornell_aco000443/569,author_bios.csv (author=b. fāris al-ḫayyāṭ ʿalī b. muḥammad b. ʿalī al-baġdādī ʾabū al-ḥasan )
1,579,2345,575,https://dlib.nyu.edu/aco/book/cornell_aco000443/575,bibliographic_citations (citation_id=1)
1,609,4292,605,https://dlib.nyu.edu/aco/book/cornell_aco000443/605,author_bios.csv (author=ʿīsā b. ʿabd al-ʿazīz al-laḫmī al-ʾiskandarī ʾabū al-qāsim)
2,5,2544,9,https://dlib.nyu.edu/aco/book/cornell_aco000444/9,bibliographic_citations (citation_id=126)
2,5,2544,9,https://dlib.nyu.edu/aco/book/cornell_aco000444/9,author_bios.csv (author=fāris b. ʾaḥmad b. mūsā al-ḥimṣī al-ḍarīr ʾabū al-fatḥ)
2,37,2649,41,https://dlib.nyu.edu/aco/book/cornell_aco000444/41,author_bios.csv (author=b. zurayq al-ḥaddād al-mubārak b. al-mubārak b. ʾaḥmad al-wāsiṭī ʾabū ǧaʿfar)
2,38,2652,42,https://dlib.nyu.edu/aco/book/cornell_aco000444/42,author_bios.csv (author=al-mubārak b. al-ḥasan b. ʾaḥmad al-baġdādī al-šahrazūrī ʾabū al-karam)
2,46,2682,50,https://dlib.nyu.edu/aco/book/cornell_aco000444/50,author_bios.csv (author=muḥammad b. ʾibrāhīm b. ʾabī mušayraḥ al-yumnī/al-yamanī al-ḥaḍramī)
2,67,2739,71,https://dlib.nyu.edu/aco/book/cornell_aco000444/71,bibliographic_citations (citation_id=76)
2,67,2739,71,https://dlib.nyu.edu/aco/book/cornell_aco000444/71,author_bios.csv (author=muḥammad b. ʾaḥmad b. ʿabd al-raḥmān al-malaṭī ʾabū al-ḥusayn)
2,69,2748,73,https://dlib.nyu.edu/aco/book/cornell_aco000444/73,author_bios.csv (author=b. bahrām muḥammad b. ʾaḥmad b. ʿabd al-wahhāb al-sulamī al-ʾiṣbahānī ʾabū bakr)
2,77,2765,81,https://dlib.nyu.edu/aco/book/cornell_aco000444/81,bibliographic_citations (citation_id=6)
2,77,2765,81,https://dlib.nyu.edu/aco/book/cornell_aco000444/81,author_bios.csv (author=al-dāǧūnī al-kabīr muḥammad b. ʾaḥmad b. ʿumar al-ramlī ʾabū bakr)
2,80,2780,84,https://dlib.nyu.edu/aco/book/cornell_aco000444/84,author_bios.csv (author=šuʿlah muḥammad b. ʾaḥmad b. muḥammad al-mawṣilī al-ḥanbalī ʾabū ʿabd allāh)
2,90,2817,94,https://dlib.nyu.edu/aco/book/cornell_aco000444/94,bibliographic_citations (citation_id=300)
2,90,2817,94,https://dlib.nyu.edu/aco/book/cornell_aco000444/94,author_bios.csv (author=muḥammad b. ʾaḥmad b. al-hayṯam al-balḫī al-rūḏbārī ʾabū bakr)
2,109,2893,113,https://dlib.nyu.edu/aco/book/cornell_aco000444/113,bibliographic_citations (citation_id=355)
2,109,2893,113,https://dlib.nyu.edu/aco/book/cornell_aco000444/113,author_bios.csv (author=muḥammad b. ǧaʿfar b. ʿabd al-karīm al-ǧurǧānī al-ḫuzāʿī ʾabū al-faḍl)
2,109,2893,113,https://dlib.nyu.edu/aco/book/cornell_aco000444/113,author_bios.csv (author=muḥammad b. al-ḥusayn b. bundār al-wāsiṭī al-qalānisī ʾabū al-ʿizz)
2,118,2932,122,https://dlib.nyu.edu/aco/book/cornell_aco000444/122,bibliographic_citations (citation_id=80)
2,118,2932,122,https://dlib.nyu.edu/aco/book/cornell_aco000444/122,author_bios.csv (author=muḥammad b. al-ḥasan b. ʿalī al-ʾanṭākī ʾabū ṭāhir)
2,119,2938,123,https://dlib.nyu.edu/aco/book/cornell_aco000444/123,bibliographic_citations (citation_id=47)
2,119,2938,123,https://dlib.nyu.edu/aco/book/cornell_aco000444/123,author_bios.csv (author=al-naqqāš muḥammad b. al-ḥasan b. muḥammad al-mawṣilī al-baġdādī ʾabū bakr)
2,147,3038,151,https://dlib.nyu.edu/aco/book/cornell_aco000444/151,bibliographic_citations (citation_id=144)
2,147,3038,151,https://dlib.nyu.edu/aco/book/cornell_aco000444/151,author_bios.csv (author=muḥammad b. sufyān al-qayrawānī al-mālikī ʾabū ʿabd allāh)
2,148,3042,152,https://dlib.nyu.edu/aco/book/cornell_aco000444/152,bibliographic_citations (citation_id=363)
2,153,3062,157,https://dlib.nyu.edu/aco/book/cornell_aco000444/157,bibliographic_citations (citation_id=279)
2,184,3177,188,https://dlib.nyu.edu/aco/book/cornell_aco000444/188,author_bios.csv (author=b. ʾuštah muḥammad b. ʿabd allāh b. muḥammad al-ʾiṣbahānī ʾabū bakr)
2,192,3209,196,https://dlib.nyu.edu/aco/book/cornell_aco000444/196,bibliographic_citations (citation_id=381)
2,192,3209,196,https://dlib.nyu.edu/aco/book/cornell_aco000444/196,author_bios.csv (author=b. ḫayrūn (ʾaḥmad/muḥammad) b. ʿabd al-malik b. al-ḥasan al-baġdādī al-dabbās ʾabū muḥammad)
2,198,3240,202,https://dlib.nyu.edu/aco/book/cornell_aco000444/202,author_bios.csv (author=muḥammad b. ʿalī b. ʾaḥmad al-miṣrī al-ʾuḏfuwī ʾabū bakr)
2,214,3295,218,https://dlib.nyu.edu/aco/book/cornell_aco000444/218,bibliographic_citations (citation_id=296)
2,214,3295,218,https://dlib.nyu.edu/aco/book/cornell_aco000444/218,author_bios.csv (author=muḥammad b. ʿalī al-baġdādī al-ḥammāmī ʾabū yāsir)
2,230,3689,234,https://dlib.nyu.edu/aco/book/cornell_aco000444/234,author_bios.csv (author=al-ḫāqānī mūsā b. ʿubayd allāh b. yaḥyā al-baġdādī ʾabū muzāḥim)
2,262,,266,https://dlib.nyu.edu/aco/book/cornell_aco000444/266,author_bios.csv (author=muḥammad b. masʿūd al-qassām ʾabū al-maʿālī)
2,291,3577,295,https://dlib.nyu.edu/aco/book/cornell_aco000444/295,bibliographic_citations (citation_id=328)
